date,open,high,low,close,volume,ema7,ema17,enter_tag,support,resistance,enter_long
2024-04-30 00:00:00+00:00,63866.0,64734.0,62995.7,63647.99,6641.99134,63265.18444218124,63328.64086604959,,0.0,64734.0,
2024-04-30 04:00:00+00:00,63647.99,63708.7,63069.68,63148.74,3035.08013,63236.07333163593,63308.651880932965,,0.0,0.0,
2024-04-30 08:00:00+00:00,63148.74,63244.0,61000.0,61204.42,14068.13369,62728.15999872695,63074.84833860708,,0.0,0.0,
2024-04-30 12:00:00+00:00,61204.41,61559.36,60546.22,60796.85,10504.86521,62245.33249904521,62821.73741209518,,0.0,0.0,
2024-04-30 16:00:00+00:00,60796.86,60947.55,59191.6,59292.95,13263.13146,61507.2368742839,62429.64992186238,,59191.6,0.0,
2024-04-30 20:00:00+00:00,59292.95,61070.71,59274.75,60672.0,7434.45352,61298.42765571293,62234.35548609989,,0.0,0.0,
2024-05-01 00:00:00+00:00,60672.01,60841.63,59590.0,60246.03,6530.47723,61035.32824178469,62013.43043208879,,0.0,0.0,
2024-05-01 04:00:00+00:00,60246.02,60361.09,57100.0,57499.99,15737.62045,60151.49368133852,61511.93705074559,,0.0,0.0,
2024-05-01 08:00:00+00:00,57500.0,57909.0,56552.82,57898.47,18606.5614,59588.23776100389,61110.44071177386,,56552.82,0.0,
2024-05-01 12:00:00+00:00,57898.46,58275.87,56674.51,56886.0,11686.74779,58912.678320752915,60641.05841046565,,0.0,0.0,
2024-05-01 16:00:00+00:00,56886.0,59468.0,56625.09,56954.47,20507.82488,58423.126240564685,60231.43747596947,,0.0,59468.0,
2024-05-01 20:00:00+00:00,56954.46,58575.32,56760.02,58364.97,8097.23648,58408.587180423514,60024.05220086175,,0.0,0.0,
2024-05-02 00:00:00+00:00,58364.97,58610.55,56911.84,57442.88,11212.01702,58167.160385317635,59737.25528965489,,0.0,0.0,
2024-05-02 04:00:00+00:00,57442.88,57945.19,57202.49,57681.08,4030.5593,58045.64028898823,59508.791368582126,,0.0,0.0,
2024-05-02 08:00:00+00:00,57681.08,58689.55,57561.14,58559.66,7270.28163,58174.14521674118,59403.33232762856,,0.0,0.0,
2024-05-02 12:00:00+00:00,58559.66,59455.0,58222.0,59264.15,15027.94977,58446.646412555885,59387.86762455872,,0.0,0.0,
2024-05-02 16:00:00+00:00,59264.16,59575.29,58943.38,59351.11,5176.24271,58672.76230941691,59383.7834440522,,0.0,0.0,
2024-05-02 20:00:00+00:00,59351.1,59625.0,58637.62,59060.61,4866.76918,58769.72423206268,59347.875283601956,,0.0,0.0,
2024-05-03 00:00:00+00:00,59060.6,59999.0,58811.32,59720.3,5109.40917,59007.36817404701,59389.25580764619,,0.0,59999.0,
2024-05-03 04:00:00+00:00,59720.3,59844.94,59061.63,59190.74,3909.0336,59053.21113053526,59367.1984956855,,0.0,0.0,
2024-05-03 08:00:00+00:00,59190.74,59575.48,58849.94,59291.09,3640.85276,59112.68084790144,59358.74199616489,,0.0,0.0,
2024-05-03 12:00:00+00:00,59291.1,62115.64,58991.99,61690.74,19191.72512,59757.19563592608,59617.8528854799,,0.0,0.0,1.0
2024-05-03 16:00:00+00:00,61690.74,62179.99,61533.2,62067.32,4594.31487,60334.72672694456,59890.01589820436,,0.0,0.0,
2024-05-03 20:00:00+00:00,62067.32,63333.0,61974.0,62882.01,7183.06591,60971.54754520842,60222.459687292765,,0.0,0.0,
2024-05-04 00:00:00+00:00,62882.01,63595.14,62541.03,62724.0,4743.46495,61409.660658906316,60500.408610926905,,0.0,0.0,
2024-05-04 04:00:00+00:00,62724.0,63450.0,62686.0,62959.03,3268.58824,61797.00299417974,60773.58876526836,,0.0,0.0,
2024-05-04 08:00:00+00:00,62959.03,64540.0,62924.37,63873.31,6546.74516,62316.07974563481,61118.0022357941,,0.0,64540.0,
2024-05-04 12:00:00+00:00,63873.3,64158.19,63434.53,63609.17,3811.93368,62639.3523092261,61394.7986540392,,0.0,0.0,
2024-05-04 16:00:00+00:00,63609.17,64019.83,63300.58,63921.18,3617.97274,62959.80923191958,61675.50769247929,,0.0,0.0,
2024-05-04 20:00:00+00:00,63921.17,64240.76,63550.0,63892.04,2379.98805,63192.866923939684,61921.78905998159,,0.0,64240.76,
2024-05-05 00:00:00+00:00,63892.03,64188.0,62822.17,63235.93,4023.81118,63203.632692954765,62067.80471998364,,62822.17,0.0,
2024-05-05 04:00:00+00:00,63235.93,63959.0,63119.32,63736.87,1984.95667,63336.94201971607,62253.25641776323,,0.0,0.0,
2024-05-05 08:00:00+00:00,63736.86,63937.17,63539.53,63859.63,2431.33573,63467.614014787054,62431.74237134509,,0.0,0.0,
2024-05-05 12:00:00+00:00,63859.63,64646.0,63618.91,64428.65,5405.83792,63707.87301109029,62653.62099675119,,0.0,64646.0,
2024-05-05 16:00:00+00:00,64428.64,64554.68,63811.01,63879.94,2871.91182,63750.88975831772,62789.878663778836,,0.0,0.0,
2024-05-05 20:00:00+00:00,63879.94,64227.51,63582.08,64012.0,1808.89697,63816.167318738284,62925.66992335897,,63582.08,0.0,
2024-05-06 00:00:00+00:00,64012.0,64465.0,63708.58,63866.59,3162.30361,63828.772989053716,63030.2165985413,,0.0,0.0,
2024-05-06 04:00:00+00:00,63866.59,64588.0,63768.72,64540.75,4129.26675,64006.76724179029,63198.053643147825,,0.0,0.0,
2024-05-06 08:00:00+00:00,64540.75,65500.0,63815.38,64203.56,9354.00852,64055.965431342716,63309.776571686954,,0.0,65500.0,
2024-05-06 12:00:00+00:00,64203.55,64319.86,62909.61,63632.01,10782.37421,63949.97657350704,63345.58028594396,,0.0,0.0,
2024-05-06 16:00:00+00:00,63632.01,63747.59,62700.0,63220.0,5039.95966,63767.48243013028,63331.62692083907,,62700.0,0.0,
2024-05-06 20:00:00+00:00,63220.0,63611.85,63051.94,63165.19,2207.00674,63616.90932259771,63313.13392963473,,0.0,0.0,
2024-05-07 00:00:00+00:00,63165.18,63967.19,62832.6,63239.49,4005.85545,63522.554491948285,63304.95127078643,,0.0,0.0,
2024-05-07 04:00:00+00:00,63239.5,63853.12,63092.76,63669.69,2871.47278,63559.33836896122,63345.4777962546,,0.0,0.0,
2024-05-07 08:00:00+00:00,63669.69,64422.41,63358.0,63490.43,5001.25779,63542.11127672091,63361.58359667075,,0.0,64422.41,
2024-05-07 12:00:00+00:00,63490.43,64320.0,63050.77,63740.48,5420.86559,63591.70345754069,63403.68319704067,,0.0,0.0,
2024-05-07 16:00:00+00:00,63740.48,63895.46,62789.89,63060.01,3582.30191,63458.78009315552,63365.497286258375,,0.0,0.0,
2024-05-07 20:00:00+00:00,63060.0,63197.58,62261.0,62312.08,4717.0412,63172.10506986664,63248.45092111856,,0.0,0.0,
2024-05-08 00:00:00+00:00,62312.07,62973.18,62111.0,62893.99,3337.82292,63102.576302399975,63209.06637432761,,0.0,0.0,
2024-05-08 04:00:00+00:00,62894.0,63020.22,62020.09,62208.0,3859.89848,62878.93222679998,63097.8367771801,,0.0,0.0,
2024-05-08 08:00:00+00:00,62208.0,62519.7,62042.0,62243.4,3513.4572,62720.049170099985,63002.89935749342,,0.0,0.0,
